Title,Description,URL
Cats at play,"Cats at play
                
            
        

        
        
        


        
            

                
                    
                        
                          1 transparency : autochrome, color ; 8 x 10 in.
                        
                    
                

            
        
        


Contributor:

                        Lambert, Louis-Eugene - Glover, L. S. (Lycurgus S.) - Detroit Publishing Co.
                        


Date:
: 1900",https://www.loc.gov/item/2016796356/
[Cats at play],"[Cats at play]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 transparency : glass ; 8 x 10 in.
                        
                    
                

            
        
        


Contributor:

                        Lambert, Lewis Eugene - Detroit Publishing Co.
                        


Date:
: 1900",https://www.loc.gov/item/2016796873/
"Cat Island, July 1935","Cat Island, July 1935
                
            
        

        
        
        


        
            

                
                    
                        
                          1 photographic print.
                        
                    
                

            
        
        


Contributor:

                        Lomax, Alan
                        


Date:
: 1935",https://www.loc.gov/item/2007660208/
"Cat Island, July 1935","Cat Island, July 1935
                
            
        

        
        
        


        
            

                
                    
                        
                          1 photographic print.
                        
                    
                

            
        
        


Contributor:

                        Lomax, Alan
                        


Date:
: 1935",https://www.loc.gov/item/2007660209/
[Cats with cauldron],"[Cats with cauldron]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print : chromolithograph ; sheet 92 x 122 cm. or less.
                        
                    
                

            
        
        


Date:
: 1901",https://www.loc.gov/item/2018696753/
[Dressing up the cat],"[Dressing up the cat]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 drawing : wash.
                        
                    
                

            
        
        


Contributor:

                        Shepherd, Jessie
                        


Date:
: 1888",https://www.loc.gov/item/2010717875/
The diseases of the cat,"The diseases of the cat
                
            
        

        
        
        


        
            

                
                    
                        
                          Also available in digital form.
                        
                    
                

            
        
        


Contributor:

                        Hill, John Woodroffe
                        


Date:
: 1901


Resource:
 - 168 pages",https://www.loc.gov/item/01027740/
Roger Benfield Cates Collection,"Roger Benfield Cates Collection
                
            
        

        
        
        


        
            

                
                    
                        
                          Sergeant, Army, Vietnam War, 1961-1975 - Cu Chi, Vietnam.
                        
                    
                

            
        
        


Contributor:

                        National Veterans History Archival Institute (Nvhai) - Cates, Roger Benfield - Milidonis, Dave
                        


Date:
: 1966


Resource:
Interview / Recording - Video - 01:01:22.0",https://www.loc.gov/item/afc2001001.76358/
Raymond Louis Cates Collection,"Raymond Louis Cates Collection
                
            
        

        
        
        


        
            

                
                    
                        
                          E-6, Marine Corps, Cold War.
                        
                    
                

            
        
        


Contributor:

                        Leblanc, William - Cates, Raymond Louis - Boy Scouts of America
                        


Date:
: 1961


Resource:
Interview / Recording - Video - 01:04:04.0",https://www.loc.gov/item/afc2001001.86139/
Elwyn R. Cates Collection,"Elwyn R. Cates Collection
                
            
        

        
        
        


        
            

                
                    
                        
                          Corporal, Army, World War, 1939-1945 - Pacific Theater; Philippines.
                        
                    
                

            
        
        


Contributor:

                        Lewis, Robert - Cates, Elwyn R. - Tyler Junior College - Rucker, Bobbye
                        


Date:
: 1943


Resource:
Interview / Recording - Video - 00:48:50.0",https://www.loc.gov/item/afc2001001.32689/
Elliott Cates Collection,"Elliott Cates Collection
                
            
        

        
        
        


        
            

                
                    
                        
                          Lieutenant Junior Grade, Navy, Korean War, 1950-1953 - Virginia; Korea; Japan.
                        
                    
                

            
        
        


Contributor:

                        Banit, Thomas - Lautenberg, Frank - U.S. Senate/Frank Lautenberg - Cates, Elliott
                        


Date:
: 1952


Resource:
Interview / Recording - Audio - 01:17:52.7",https://www.loc.gov/item/afc2001001.90553/
Two little fraid cats,"Two little fraid cats
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print : lithograph ; sheet 32.3 x 42.7 cm.
                        
                    
                

            
        
        


Contributor:

                        Kelly, Thomas - Kelly, Thomas, Active
                        


Date:
: 1874",https://www.loc.gov/item/2003662899/
"Cat, window, Amsterdam, 1975","Cat, window, Amsterdam, 1975
                
            
        

        
        
        


        
            

                
                    
                        
                          1 photograph : color.
                        
                    
                

            
        
        


Contributor:

                        Vergara, Camilo J.
                        


Date:
: 1975",https://www.loc.gov/item/2020703750/
"Gaston cat, portrait photograph","Gaston cat, portrait photograph
                
            
        

        
        
        


        
            

                
                    
                        
                          1 negative : safety ; 5 x 7 in.
                        
                    
                

            
        
        


Contributor:

                        Genthe, Arnold
                        


Date:
: 1933",https://www.loc.gov/item/2018714030/
[Domestic cat nursing kittens],"[Domestic cat nursing kittens]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print : woodcut.
                        
                    
                

            
        
        


Contributor:

                        Tachibana, Morikuni
                        


Date:
: 1720",https://www.loc.gov/item/2008660988/
[Cat on sidewalk],"[Cat on sidewalk]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 photograph : negative ; film width 35 mm (roll format)
                        
                    
                

            
        
        


Contributor:

                        Rizzuto, Angelo
                        


Date:
: 1959",https://www.loc.gov/item/2021636522/
Robert Vernon Cates Collection,"Robert Vernon Cates Collection
                
            
        

        
        
        


        
            

                
                    
                        
                          Petty Officer First Class, Navy, World War, 1939-1945 - Okinawa Island (Ryukyu Islands); Pacific Theater.
                        
                    
                

            
        
        


Contributor:

                        Cates, Robert Vernon - Pedroza, Denise - Atria Senior Living, San Juan Capistrano, California
                        


Date:
: 1943


Resource:
Interview / Recording - Audio - 00:36:37.0",https://www.loc.gov/item/afc2001001.91264/
Wild Cat Blues,"Wild Cat Blues
                    
                
            
        

        
        
        


        
            

                
                    
                        
                          “Wild Cat Blues”--Clarence Williams' Blue Five (1923) Added to the National Registry: 2015 Essay by Thomas L. Morgan (guest post)* Clarence Williams Clarence Williams was the most successful African American music publisher of his time. He blazed a trail of entrepreneurship in the American recording industry that was unmatched. Highly energetic and adept at all sides of the music business from writing, publishing, and...
                        
                    
                

            
        
        


Contributor:

                        Thomas L. Morgan",//www.loc.gov/static/programs/national-recording-preservation-board/documents/WildCatBlues.pdf
